"Species","Longitude","Latitude"
"Pbengalensis",88.703,27.798
"Pbengalensis",94.90818333,25.7119
"Pbengalensis",93.86449722,25.56770278
"Pbengalensis",91.78439,25.90091
"Pbengalensis",90.86444,25.21803
"Pbengalensis",91.82654,25.9234
"Pbengalensis",92.46265,27.15271
"Pbengalensis",93.96654,27.52578
"Pbengalensis",92.61073,27.10316
"Pbengalensis",96.080933,27.614108
"Pbengalensis",92.78341,27.10011
"Pbengalensis",92.72618,27.10801
"Pbengalensis",92.88554,27.00275
"Pbengalensis",93.92696,27.56989
"Pbengalensis",92.40546,27.08721
"Pbengalensis",96.090933,27.714108
"Pbengalensis",92.46112,27.18921
"Pbengalensis",93.96738,27.54362
"Pbengalensis",76.981201,31.739224
"Pbengalensis",76.555481,32.107549
"Pbengalensis",77.104797,31.059365
"Pbengalensis",77.154797,31.079365
"Pbengalensis",76.107788,32.578603
"Pbengalensis",75.09764,13.62614
"Pbengalensis",75.0906,13.562222
"Pbengalensis",75.14025,13.56554
"Pbengalensis",75.161244,13.765194
"Pbengalensis",77.09081,11.8562
"Pbengalensis",77.09081,12.0001
"Pbengalensis",74.70623,34.10956
"Pbengalensis",77.13255,9.52845
"Pbengalensis",76.485056,11.253167
"Pbengalensis",74.79692,34.04075
"Pbengalensis",92.732849,23.754511
"Pbengalensis",88.28064,27.10673
"Pbengalensis",91.75,26.166667
"Pbengalensis",94.35103611,25.49903056
"Pbengalensis",84.072017,27.4338
"Pbengalensis",83.961017,27.433467
"Pbengalensis",78.64607,29.54977
"Pbengalensis",78.2912,29.93423
"Pbengalensis",78.299586,29.955315
"Pbengalensis",78.013046,30.108458
"Pbengalensis",78.093541,30.062762
"Pbengalensis",91.397594,23.28236
"Pbengalensis",73.860389,16.4085
"Pbengalensis",73.641506,17.963649
"Pbengalensis",86.159444,21.920278
"Pbengalensis",78.773694,15.421094
"Pbengalensis",84.11895,28.430317
"Pbengalensis",83.28333333,17.96666667
"Pbengalensis",82.66666667,18.08333333
"Pbengalensis",87.26686667,27.80573333
"Pbengalensis",92.86913,27.00514
"Pbengalensis",93.90872,27.155991
"Pbengalensis",95.43636,27.6606
"Pbengalensis",95.32291,27.6209
"Pviverrinus",88.09378,22.58203
"Pviverrinus",88.27882,22.72879
"Pviverrinus",88.31291944,22.653675
"Pviverrinus",88.20528,22.56177
"Pviverrinus",88.363037,22.541648
"Pviverrinus",87.92937,22.56913
"Pviverrinus",89.962578,22.034412
"Pviverrinus",88.999042,23.943037
"Pviverrinus",91.666624,24.366582
"Pviverrinus",90.163165,23.681326
"Pviverrinus",91.091423,22.666452
"Pviverrinus",89.290438,23.806785
"Pviverrinus",91.810856,24.540409
"Pviverrinus",90.053043,22.477348
"Pviverrinus",91.300592,24.103983
"Pviverrinus",91.565552,22.769534
"Pviverrinus",90.320492,23.474387
"Pviverrinus",80.752722,28.429111
"Pviverrinus",81.182389,28.325028
"Pviverrinus",82.287598,17.31638
"Pviverrinus",80.4134666,28.36944722
"Pviverrinus",77.539101,27.155144
"Pviverrinus",85.439056,19.899278
"Pviverrinus",84.5,27.55
"Pviverrinus",83.35,17.76
"Pviverrinus",84.55,18.9
"Pviverrinus",82.24,16.94
"Pviverrinus",78.770813,15.539501
"Pviverrinus",93.261081,26.621018
"Pviverrinus",84.840015,27.325002
"Pviverrinus",84.224489,27.527553
"Pviverrinus",84.129955,27.543382
"Pviverrinus",83.073592,27.610781
"Pviverrinus",81.466588,28.466406
"Pviverrinus",81.169623,28.191449
"Pviverrinus",81.147481,28.302347
"Pviverrinus",80.024029,28.685191
"Pviverrinus",80.059153,28.715889
"Pviverrinus",80.183325,28.883296
"Pviverrinus",78.55023,29.629002
"Pviverrinus",76.516088,26.025302
"Pviverrinus",79.913068,6.884603
"Pviverrinus",82.23333333,16.68333333
"Prubiginosus",79.1357,16.36375
"Prubiginosus",78.6402,16.2152
"Prubiginosus",78.72106,16.30488
"Prubiginosus",77.2697854,9.6034369
"Prubiginosus",76.78464722,11.09254167
"Prubiginosus",77.08213,11.57576
"Prubiginosus",77.45327,9.4459292
"Prubiginosus",80.211767,13.720941
"Prubiginosus",78.79047,15.88797
"Prubiginosus",79.0247093,14.6489359
"Prubiginosus",78.85773,15.95453
"Prubiginosus",78.79848,15.93761
"Prubiginosus",73.933333,22.566667
"Prubiginosus",73.710623,21.766674
"Prubiginosus",70.597715,21.150955
"Prubiginosus",74.133333,22.533333
"Prubiginosus",73.933333,22.483333
"Prubiginosus",73.534842,20.700403
"Prubiginosus",76.430925,11.724376
"Prubiginosus",76.456861,11.989118
"Prubiginosus",77.213358,13.379916
"Prubiginosus",73.829498,18.601998
"Prubiginosus",73.948755,19.530289
"Prubiginosus",84.120153,19.911608
"Prubiginosus",79.494324,20.159985
"Prubiginosus",79.336052,20.192613
"Prubiginosus",79.410553,20.230228
"Prubiginosus",79.956007,21.21338
"Prubiginosus",73.662558,24.60067
"Prubiginosus",80.01655,24.74483333
"Prubiginosus",80.224056,24.802864
"Prubiginosus",79.925108,28.663931
"Prubiginosus",80.038404,28.743129
"Prubiginosus",72.903214,19.421268
"Prubiginosus",77.155984,21.433546
"Prubiginosus",76.350985,10.240232
"Prubiginosus",76.6165924,11.6394587
"Prubiginosus",77.716507,13.262639
"Prubiginosus",74.000572,15.938741
"Prubiginosus",77.06666667,11.86666667
