"Species","Longitude","Latitude"
"apodemus",72.63,34.92
"apodemus",72.67,35.5
"apodemus",77.41666667,34.33333333
"apodemus",75.76666667,33.31666667
"apodemus",77.01666667,34.25
"apodemus",96.18333333,27.48333333
"apodemus",96.75,27.5
"apodemus",74.3,35.9
"apodemus",74.86666667,35.36666667
"apodemus",77.1,31.96666667
"apodemus",77.41666667,32.58333333
"apodemus",83.61667,28.65
"apodemus",83.96667,29.18333
"apodemus",83.88333,28.81667
"apodemus",83.75,28.76667
"bandicota",80.1,6.516666667
"bandicota",80.16666667,7.683333333
"bandicota",80.63333333,7.283333333
"bandicota",80.16666667,7.816666667
"bandicota",80.65,7.2
"bandicota",79.88333333,6.833333333
"bandicota",80.76666667,8.05
"bandicota",81.7,7.716666667
"bandicota",88.61666667,22.83333333
"bandicota",88.53333333,22.56666667
"bandicota",86.98333333,23.68333333
"bandicota",88.76666667,25.21666667
"bandicota",88.11666667,25.61666667
"bandicota",88.45,22.23333333
"bandicota",87.75,23.25
"bandicota",87.53333333,23.91666667
"bandicota",88.2,22.55
"bandicota",88.21666667,25.68333333
"bandicota",88.21666667,23.4
"bandicota",79.35,18.1
"bandicota",78.25,16.5
"bandicota",78.93333333,16.7
"bandicota",80.63333333,17.55
"bandicota",80.16666667,18.2
"bandicota",78.35,18.31666667
"bandicota",78.35,19.1
"bandicota",78.26666667,17.73333333
"bandicota",79.5,19.03333333
"bandicota",78.55,17.48333333
"bandicota",79.25,18.5
"bandicota",77.9,17.33333333
"bandicota",78.15,16.76666667
"bandicota",79.5,17.96666667
"bandicota",79.21666667,16.5
"bandicota",81.1,16.7
"bandicota",82.48333,17.81667
"bandicota",84.23333333,18.61666667
"bandicota",77.63333333,15.11666667
"bandicota",82.86666667,18.33333333
"bandicota",81.78333333,16.98333333
"bandicota",78.81666667,14.46666667
"bandicota",81.76666667,17.45
"bandicota",80.16666667,13.75
"bandicota",80.25,16.41666667
"bandicota",78.58333333,15.88333333
"bandicota",80.46666667,15.9
"bandicota",80.15,14.38333333
"bandicota",80.13333333,16.65
"bandicota",82.21666667,16.93333333
"bandicota",79.43333333,16.48333333
"bandicota",78.26666667,15.86666667
"bandicota",81.13333333,16.16666667
"bandicota",79.58333333,15.08333333
"bandicota",78.48333333,15.98333333
"bandicota",72.81666667,18.96666667
"bandicota",74.25,21.36666667
"bandicota",73.86666667,18.53333333
"bandicota",80.28333333,13.08333333
"bandicota",76.91666667,8.483333333
"bandicota",76.21666667,10.51666667
"bandicota",76.7,11.4
"bandicota",75.4,12.41666667
"bandicota",76.88333333,12.51666667
"bandicota",77.58333333,12.98333333
"bandicota",78.16666667,13.33333333
"bandicota",74.58333333,14.88333333
"bandicota",76.83333333,15.25
"bandicota",75.33333333,15.5
"bandicota",74.5,16.75
"bandicota",84.5,19.5
"bandicota",85.76666667,20.36666667
"bandicota",73.75,20.75
"bandicota",70.75,20.86666667
"bandicota",74.78333333,20.9
"bandicota",73.05,20.91666667
"bandicota",86.91666667,21.48333333
"bandicota",76.26666667,21.48333333
"bandicota",70.46666667,21.51666667
"bandicota",72.96666667,21.7
"bandicota",86.5,21.75
"bandicota",76.58333333,21.75
"bandicota",70.83333333,22.33333333
"bandicota",84.81666667,22.56666667
"bandicota",73.5,22.83333333
"bandicota",92.73333333,22.88333333
"bandicota",80.08333333,23.43333333
"bandicota",92.71666667,23.73333333
"bandicota",90.25,23.83333333
"bandicota",90.63333333,24.03333333
"bandicota",84.06666667,24.03333333
"bandicota",67.45,24.13333333
"bandicota",85.91666667,24.25
"bandicota",68.06666667,24.31666667
"bandicota",68.28333333,24.36666667
"bandicota",67.98333333,24.4
"bandicota",90.66666667,24.48333333
"bandicota",72.7,24.6
"bandicota",93.93333333,24.63333333
"bandicota",68.85,24.65
"bandicota",67.93333333,24.75
"bandicota",69.73333333,25.36666667
"bandicota",91.88333333,25.56666667
"bandicota",80.75,25.75
"bandicota",63.76666667,25.85
"bandicota",91.25,26.33333333
"bandicota",80.35,26.45
"bandicota",88.5,26.5
"bandicota",83.25,26.91666667
"bandicota",68.08333333,27.36666667
"bandicota",67.8,27.43333333
"bandicota",80.91666667,27.5
"bandicota",73.16666667,28.16666667
"bandicota",83.98333333,28.23333333
"bandicota",79.75,29.16666667
"bandicota",79.5,29.25
"bandicota",76.85,29.98333333
"bandicota",77.5,30.75
"bandicota",75.85,30.88333333
